    Temperature         <E(T)>         <M(T)>       <C_v(T)>       <Chi(T)>
      1.0000000     -7.9860800     0.34936000     0.11116623      15.854668
      1.0100000     -7.9854400     0.59450000     0.11397707      15.467772
      1.0200000     -7.9805600     0.69806000     0.14911773      15.176659
      1.0300000     -7.9821600    -0.21494000     0.13422729      15.460117
      1.0400000     -7.9782400  0.00054000000     0.16050897      15.349730
      1.0500000     -7.9798400    -0.22556000     0.14591707      15.157260
      1.0600000     -7.9732000     0.23378000     0.19017601      15.001082
      1.0700000     -7.9751200     -1.0955200     0.17330857      13.793192
      1.0800000     -7.9716800    0.092080000     0.19355108      14.763409
      1.0900000     -7.9700800    -0.68524000     0.20071105      14.201951
      1.1000000     -7.9668000   -0.047880000     0.21859319      14.492898
      1.1100000     -7.9597600     0.16496000     0.25996327      14.329575
      1.1200000     -7.9604000     0.50088000     0.25130089      14.002714
      1.1300000     -7.9580800   -0.060800000     0.26125986      14.094003
      1.1400000     -7.9509600     0.24072000     0.30101191      13.912749
      1.1500000     -7.9553600     0.68434000     0.26852724      13.441495
      1.1600000     -7.9529600     0.82944000     0.27802262      13.132025
      1.1700000     -7.9500000    -0.41252000     0.29037914      13.458929
      1.1800000     -7.9456800     0.75650000     0.30997511      12.997888
      1.1900000     -7.9458400    0.086820000     0.30389570      13.362775
      1.2000000     -7.9400800     0.28490000     0.33128444      13.182327
      1.2100000     -7.9324000    -0.84154000     0.36625247      12.545265
      1.2200000     -7.9351200    -0.21074000     0.34589531      12.989204
      1.2300000     -7.9299200    0.067180000     0.36732685      12.909469
      1.2400000     -7.9308800     0.10630000     0.35735069      12.801565
      1.2500000     -7.9269600    -0.38738000     0.37218890      12.582637
      1.2600000     -7.9148800   -0.095120000     0.42436041      12.579168
      1.2700000     -7.9168000   -0.085980000     0.40838103      12.483281
      1.2800000     -7.9075200    0.081920000     0.44634244      12.374257
      1.2900000     -7.8931200    -0.19532000     0.50771989      12.235171
      1.3000000     -7.8958400   -0.026280000     0.48891757      12.173869
      1.3100000     -7.8921600     0.27876000     0.49669048      12.017079
      1.3200000     -7.8968800    -0.36732000     0.46735897      11.888755
      1.3300000     -7.8846400    -0.13100000     0.51492570      11.873232
      1.3400000     -7.8755200   -0.030720000     0.54668341      11.785266
      1.3500000     -7.8728800     0.10074000     0.54913608      11.687564
      1.3600000     -7.8676800     0.14970000     0.56285219      11.585904
      1.3700000     -7.8596800    -0.20838000     0.58828403      11.477239
      1.3800000     -7.8604800   -0.038880000     0.57587386      11.424470
      1.3900000     -7.8636800    -0.13400000     0.55614971      11.335571
      1.4000000     -7.8440000    -0.11778000     0.62431837      11.233891
      1.4100000     -7.8369600   0.0023600000     0.64398066      11.155457
      1.4200000     -7.8373600     0.19108000     0.63405487      11.051358
      1.4300000     -7.8219200    0.062780000     0.68304930      10.978586
      1.4400000     -7.8139200     0.19992000     0.70182014      10.869300
      1.4500000     -7.8106400     0.23368000     0.70406791      10.778616
      1.4600000     -7.7923200     0.43036000     0.76040018      10.595171
      1.4700000     -7.7900800    -0.17906000     0.75735739      10.624583
      1.4800000     -7.7852000    0.073920000     0.76461877      10.565605
      1.4900000     -7.7762400   0.0013400000     0.78375364      10.487435
      1.5000000     -7.7665600    0.093920000     0.80806479      10.401426
      1.5100000     -7.7561600     0.10892000     0.83114866      10.318713
      1.5200000     -7.7464000   0.0010600000     0.85249612      10.247710
      1.5300000     -7.7588000    -0.12606000     0.80108615      10.184568
      1.5400000     -7.7621600    0.069020000     0.77898134      10.130491
      1.5500000     -7.7280000    0.073720000     0.87759251      10.026274
      1.5600000     -7.7242400   -0.032780000     0.87736539      9.9620548
      1.5700000     -7.7051200    0.054920000     0.92489180      9.8749196
      1.5800000     -7.6987200     0.13444000     0.93117704      9.7972695
      1.5900000     -7.7011200    -0.12478000     0.91247607      9.7407736
      1.6000000     -7.7004000     0.12638000     0.90318744      9.6780426
      1.6100000     -7.6741600    0.017220000     0.96813715      9.6007351
      1.6200000     -7.6759200     0.13724000     0.94934162      9.5310402
      1.6300000     -7.6611200     0.13018000     0.98100807      9.4600572
      1.6400000     -7.6409600     0.14242000      1.0238141      9.3789735
      1.6500000     -7.6440800    0.016780000      1.0016826      9.3377930
      1.6600000     -7.6180000   -0.011100000      1.0597750      9.2551788
      1.6700000     -7.6201600    0.066740000      1.0433510      9.2002310
      1.6800000     -7.6060800  0.00042000000      1.0624812      9.1330713
      1.6900000     -7.6040000   -0.078500000      1.0583327      9.0738685
      1.7000000     -7.6007200     0.21280000      1.0536524      8.9955272
      1.7100000     -7.5878400    -0.19242000      1.0743422      8.9341606
      1.7200000     -7.5683200   -0.015000000      1.1069404      8.8840552
      1.7300000     -7.5709600   -0.094980000      1.0857445      8.8297218
      1.7400000     -7.5584800    0.027920000      1.1056481      8.7714600
      1.7500000     -7.5134400   -0.015980000      1.1983084      8.6798769
      1.7600000     -7.5274400    -0.10146000      1.1524945      8.6372647
      1.7700000     -7.5027200    -0.23044000      1.1941628      8.5415240
      1.7800000     -7.4959200    0.030400000      1.1990353      8.5161999
      1.7900000     -7.4824000    -0.13928000      1.2131239      8.4457436
      1.8000000     -7.4693600    0.058140000      1.2288460      8.3962776
      1.8100000     -7.4508800     0.10178000      1.2555133      8.3300778
      1.8200000     -7.4588800   -0.040280000      1.2223612      8.2948008
      1.8300000     -7.4301600   -0.017600000      1.2715585      8.2259728
      1.8400000     -7.4379200    0.049580000      1.2439231      8.1861640
      1.8500000     -7.3865600    -0.12690000      1.3303057      8.0862791
      1.8600000     -7.3934400   -0.067100000      1.3047766      8.0568267
      1.8700000     -7.3932800   -0.038860000      1.2875092      8.0161550
      1.8800000     -7.3893600    0.081120000      1.2846307      7.9686274
      1.8900000     -7.3620000    0.018700000      1.3217088      7.9056986
      1.9000000     -7.3541600   -0.035220000      1.3217093      7.8549050
      1.9100000     -7.3206400    0.090100000      1.3706395      7.7797707
