    Temperature         <E(T)>         <M(T)>       <C_v(T)>       <Chi(T)>
      2.0000000     -698.59000      365.10160      301.37537      159.18324
      2.0093750     -695.91880      363.43360      291.20392      160.38977
      2.0187500     -693.28000      363.00020      279.91028      131.66445
      2.0281250     -690.05600      360.65300      315.38271      184.34031
      2.0375000     -687.33640      359.98000      305.90108      169.84560
      2.0468750     -681.83840      356.75460      348.17740      220.93727
      2.0562500     -681.31640      356.58860      339.55539      218.24134
      2.0656250     -678.02160      355.45200      315.27005      198.90914
      2.0750000     -672.88040      350.35720      415.56227      645.53003
      2.0843750     -669.12040      350.10160      351.64802      279.09953
      2.0937500     -666.32720      348.27080      389.71404      333.99989
      2.1031250     -664.28680      347.93220      363.34108      288.41339
      2.1125000     -659.18120      343.43580      445.70262      534.84217
      2.1218750     -657.67920      343.05720      388.25763      433.75030
      2.1312500     -652.54240      341.17820      396.45830      379.61095
      2.1406250     -648.13360      338.07260      426.81707      448.82851
      2.1500000     -645.50760      335.00280      467.66121      729.74028
      2.1593750     -638.94640      330.99580      482.31550      785.32797
      2.1687500     -636.88920      330.31940      455.05840      772.92117
      2.1781250     -627.71000      37.279000      528.50015      47876.477
      2.1875000     -627.97760      317.95260      502.15144      2633.1570
      2.1968750     -622.00760      320.93800      493.70304      723.69131
      2.2062500     -612.67600      24.102000      593.48738      44395.577
      2.2156250     -609.26920      309.58600      564.83822      1064.3363
      2.2250000     -604.17920      305.60400      550.60844      1169.4346
      2.2343750     -608.47040      254.10880      489.04288      15746.814
      2.2437500     -591.76160      177.06760      674.42191      25334.646
      2.2531250     -591.75520      211.03100      620.31227      19987.597
      2.2625000     -585.30320      231.80440      558.33882      15077.354
      2.2718750     -576.93600      148.71400      627.68897      26285.254
      2.2812500     -571.78640      126.17840      617.46850      28251.828
      2.2906250     -563.79080      11.371200      670.76416      32537.141
