    Temperature         <E(T)>         <M(T)>       <C_v(T)>       <Chi(T)>
      2.1000000     -16620.925      8686.3667      9806.2790      9847.4026
      2.1093750     -16534.348      8640.4172      9783.0275      9690.1130
      2.1187500     -16434.697      8574.6659      10032.167      12295.998
      2.1281250     -16335.089      8515.6999      10529.951      12793.313
      2.1375000     -16230.894      8445.9285      10774.609      14492.556
      2.1468750     -16137.583      8390.3821      11084.865      15343.225
      2.1562500     -16025.820      8308.5158      11698.372      19076.328
      2.1656250     -15914.152      8218.3218      12023.494      25683.973
      2.1750000     -15794.974      8128.8428      12627.862      33416.472
      2.1843750     -15684.559      8047.2751      12998.305      31676.643
      2.1937500     -15555.101      7936.4357      13467.324      36415.246
      2.2031250     -15402.958      7764.4615      14192.206      55116.001
      2.2125000     -15291.908      7701.1693      14626.563      47621.812
      2.2218750     -15127.051      7450.0822      16974.248      123234.32
      2.2312500     -14967.133      7273.8864      16604.688      128727.42
      2.2406250     -14797.850      6996.4129      18740.162      209782.87
      2.2500000     -14632.230      6770.0441      19132.551      280342.25
      2.2593750     -14458.034      6442.7642      20332.418      373761.46
      2.2687500     -14249.782      5870.8806      24937.876      955518.21
      2.2781250     -13958.714      4791.7884      24352.079      1346953.3
      2.2875000     -13768.201      4342.0326      23716.320      1482686.4
      2.2968750     -13574.716      3873.5090      22323.859      1260770.8
      2.3062500     -13337.075      2830.8049      18841.470      1287067.0
      2.3156250     -13159.351      2303.7998      16809.845      935213.65
      2.3250000     -13002.235      1849.2986      14770.488      632591.91
      2.3343750     -12860.265      1782.0485      14558.129      651383.62
      2.3437500     -12734.510      1545.0836      13669.123      543096.71
      2.3531250     -12620.239      1414.4774      13023.882      415711.06
      2.3625000     -12494.477      1378.0452      13009.428      430070.06
      2.3718750     -12362.316      1198.4848      12741.101      341933.41
      2.3812500     -12264.209      1181.6498      12615.877      308403.25
      2.3906250     -12153.902      1135.6370      11482.750      273003.29
