    Temperature         <E(T)>         <M(T)>       <C_v(T)>       <Chi(T)>
      2.1000000     -2658.9912      1390.2813      1518.5854      1391.5311
      2.1093750     -2644.4488      1382.3302      1557.9882      1521.2009
      2.1187500     -2629.6284      1373.1259      1597.4715      1737.7918
      2.1281250     -2615.5081      1363.5842      1701.7746      2146.8130
      2.1375000     -2597.1125      1352.2339      1731.6722      2293.5533
      2.1468750     -2581.9339      1343.6408      1780.1057      2409.5137
      2.1562500     -2564.8168      1331.0018      1822.2784      2769.0484
      2.1656250     -2545.7163      1313.7392      1965.7040      4007.2402
      2.1750000     -2527.1001      1300.9663      2005.4410      4365.5194
      2.1843750     -2507.7062      1281.9274      2175.8139      8320.6104
      2.1937500     -2486.8967      1267.7464      2197.6346      6081.2305
      2.2031250     -2472.4918      1261.3995      2148.8699      5470.9074
      2.2125000     -2437.4803      1208.8581      2564.1447      12936.714
      2.2218750     -2424.9303      1213.2991      2359.8737      8240.3414
      2.2312500     -2394.0409      1167.6251      2683.3843      15009.983
      2.2406250     -2373.3019      1144.1797      2765.0375      18977.134
      2.2500000     -2347.4806      1109.9086      2918.1936      22608.924
      2.2593750     -2311.1048      1048.1956      3073.1868      29135.973
      2.2687500     -2281.1897      992.19009      3194.6316      39285.863
      2.2781250     -2260.7698      979.28140      3198.1293      34216.502
      2.2875000     -2233.8933      936.47031      3157.7767      39655.146
      2.2968750     -2195.9829      851.48887      3172.1409      47561.829
      2.3062500     -2172.1155      829.97273      3031.2596      42855.673
      2.3156250     -2145.3395      770.91382      3211.2584      51293.978
      2.3250000     -2113.9663      718.67880      2982.5605      47235.107
      2.3343750     -2094.7430      698.14909      2858.2409      45179.619
      2.3437500     -2059.4788      590.19073      2637.9164      48921.016
      2.3531250     -2036.8601      576.92593      2448.9404      41545.047
      2.3625000     -2008.9123      516.17764      2310.2431      39661.152
      2.3718750     -1985.1480      476.01853      2214.9043      38155.783
      2.3812500     -1978.4177      500.66418      2245.5894      36828.830
      2.3906250     -1953.5157      432.88671      2012.6409      32574.832
