    Temperature         <E(T)>         <M(T)>       <C_v(T)>       <Chi(T)>
      2.0000000     -10834.664      3108.2144      33043.595      3607357.7
      2.0093750     -11124.430      5808.9330      4802.4627      2651.2321
      2.0187500     -11088.495      5795.7608      4889.0054      2888.1894
      2.0281250     -11035.042      5768.4202      5219.0390      3129.5920
      2.0375000     -10985.352      5744.0008      5102.0528      3211.2609
      2.0468750     -10948.287      5729.8890      5170.1868      3298.8547
      2.0562500     -10889.988      5694.9882      5391.9398      4138.6982
      2.0656250     -10847.113      5679.6510      5431.4193      3630.4136
      2.0750000     -10733.188      5466.4796      17533.177      179328.34
      2.0843750     -10742.475      5621.1198      5747.2121      4927.1127
      2.0937500     -10672.964      5581.3036      6191.8108      5756.9199
      2.1031250     -10623.668      5557.2830      6406.7999      5741.5440
      2.1125000     -10558.820      5514.9580      6149.5054      6493.0790
      2.1218750     -10506.822      5486.5504      6199.3679      7094.5093
      2.1312500     -10441.643      5437.1140      6786.2719      10064.138
      2.1406250     -10385.400      5417.4924      6694.9037      8428.6890
      2.1500000     -10119.528      4131.3042      27072.696      1919974.6
      2.1593750     -10238.427      5315.3850      7293.9399      11077.870
      2.1687500     -10163.266      5248.8734      8087.5415      14291.890
      2.1781250     -10100.565      5197.9914      8017.5461      14754.211
      2.1875000     -9998.9524      5099.9314      9569.4949      26348.292
      2.1968750     -9939.0864      5081.3572      9262.9034      24205.375
      2.2062500     -9813.4304      4889.3744      10004.152      47919.547
      2.2156250     -9730.3384      4847.5874      9448.8455      39738.830
      2.2250000     -9568.4704      4030.5632      24052.431      1178748.4
      2.2343750     -9549.8800      4655.5496      9917.7748      57075.368
      2.2437500     -9505.8088      4676.8750      10252.301      41465.356
      2.2531250     -9338.7124      4346.7798      10166.319      67088.911
      2.2625000     -9237.6580      4145.0280      12375.027      190759.52
      2.2718750     -8933.4960      2721.6242      17443.855      1424166.4
      2.2812500     -8737.8680      311.21540      16661.104      2399546.5
      2.2906250     -8851.4748      3409.0928      12187.202      241905.86
