    Temperature         <E(T)>         <M(T)>       <C_v(T)>       <Chi(T)>
      2.2000000     -2474.5553      1256.1270      2252.5132      7276.9629
      2.2250000     -2414.9367      1196.0458      2557.1944      12104.746
      2.2500000     -2346.2714      1108.0098      2923.1861      22848.703
      2.2750000     -2269.8456      992.31717      3161.3070      34178.661
      2.3000000     -2192.3821      858.20078      3163.7303      45047.803
      2.3250000     -2113.2024      709.26086      2915.5831      48928.859
      2.3500000     -2043.4118      580.89738      2557.6938      44803.694
      2.3750000     -1986.8136      495.69417      2247.7855      38197.214
