    Temperature         <E(T)>         <M(T)>       <C_v(T)>       <Chi(T)>
      2.2000000     -5567.8055      2826.3366      5107.3405      16648.853
      2.2250000     -5432.1859      2685.3135      5791.8479      30456.644
      2.2500000     -5271.6478      2455.2673      6899.5479      79066.967
      2.2750000     -5079.3217      2051.5684      8108.6388      186396.96
      2.3000000     -4882.6353      1593.3437      7614.9425      228952.98
      2.3250000     -4711.4248      1199.5518      6568.3082      210725.92
      2.3500000     -4563.6221      900.03355      5263.4885      149449.83
      2.3750000     -4445.6876      746.69134      4599.6917      111380.97
