    Temperature         <E(T)>         <M(T)>       <C_v(T)>       <Chi(T)>
      2.2000000     -9899.4858      5027.5258      9052.5913      31225.276
      2.2250000     -9655.4227      4766.7957      10355.315      58695.182
      2.2500000     -9369.8036      4348.4075      12454.473      175077.06
      2.2750000     -9000.2574      3417.3404      15407.390      592802.67
      2.3000000     -8652.5206      2470.8618      13743.183      670770.80
      2.3250000     -8338.4132      1594.4572      10335.494      443984.34
      2.3500000     -8099.7196      1200.1830      8803.4338      294016.52
      2.3750000     -7891.9597      954.24319      7861.9954      202562.65
