    Temperature         <E(T)>         <M(T)>       <C_v(T)>       <Chi(T)>
      2.2000000     -15466.924      7847.4338      14202.237      51673.537
      2.2250000     -15084.065      7440.8994      16268.381      96806.990
      2.2500000     -14628.035      6706.4889      20962.593      424605.74
      2.2750000     -14041.639      5096.4542      25527.709      1366011.1
      2.3000000     -13475.544      3291.2352      20730.457      1387290.1
      2.3250000     -13023.769      2131.2912      16159.595      850231.99
      2.3500000     -12659.094      1571.5325      13995.691      517558.54
      2.3750000     -12337.550      1232.1800      12296.553      341010.81
