    Temperature         <E(T)>         <M(T)>       <C_v(T)>       <Chi(T)>
      2.1000000     -10633.407      5556.3691      6163.9287      6166.6727
      2.1093750     -10578.443      5525.7270      6443.2213      6806.3875
      2.1187500     -10516.830      5486.8132      6533.9882      7687.5186
      2.1281250     -10456.922      5452.0144      6812.7424      8451.7951
      2.1375000     -10395.326      5416.2438      6989.1830      8932.9506
      2.1468750     -10329.928      5368.6979      7181.1197      11153.276
      2.1562500     -10254.107      5312.9857      7464.8189      13280.268
      2.1656250     -10180.813      5264.6736      7752.5653      13925.468
      2.1750000     -10116.613      5215.2080      8125.6512      16175.002
      2.1843750     -10034.525      5146.0693      8233.9763      19427.734
      2.1937500     -9956.0488      5080.0918      8645.8988      24262.570
      2.2031250     -9869.6195      5000.8100      9154.1264      32574.300
      2.2125000     -9782.4363      4916.6064      9599.8782      36192.832
      2.2218750     -9683.9609      4807.6667      9945.7415      43252.271
      2.2312500     -9591.9764      4683.7018      11174.208      83143.615
      2.2406250     -9481.3482      4531.6855      11452.977      106120.00
      2.2500000     -9392.1831      4451.2317      11626.607      107246.75
      2.2593750     -9281.5671      4276.5074      12068.999      124638.85
      2.2687500     -9120.4675      3869.4671      14415.823      365051.07
      2.2781250     -8931.7675      3280.7032      13535.937      439151.76
      2.2875000     -8841.0945      3130.2587      14242.538      561230.44
      2.2968750     -8692.3556      2486.1854      14178.425      731517.00
      2.3062500     -8542.9464      2032.5041      12400.635      594912.63
      2.3156250     -8433.3526      1640.4272      10788.640      520510.65
      2.3250000     -8333.3974      1581.1648      9976.7462      467572.66
      2.3343750     -8251.9793      1498.8078      10190.933      427163.37
      2.3437500     -8162.2274      1387.8328      9339.3537      347868.24
      2.3531250     -8088.2720      1225.8017      8949.0395      314101.07
      2.3625000     -7997.4987      1121.8472      8210.7605      256361.39
      2.3718750     -7932.4152      1087.0671      8316.6836      273419.53
      2.3812500     -7849.0056      929.09900      7888.3338      191850.12
      2.3906250     -7765.8022      866.72729      7394.9957      164473.11
